keyword,decision,revised_keyword,original_function_name,revised_function_name,equipment_category_large,equipment_category_middle,ai_confidence,miner_confidence,evidence_template,company_count,source_match_count,equipment_count,hub_count,source_fields,reason,evidence_summary,risk_note,diversity_tags,source_examples,equipment_examples
핵심,keep,,핵심 관련 장비 검증,핵심 관련 장비 검증,기계가공/시험장비,반도체장비,0.725,0.725,"{sourceField}에서 {keyword} 관련 프로젝트명이 3회 등장하고, 반도체 장비인 프로브스테이션이 관련 데이터에 1대 배치되어 있습니다.",2,3,1,1,company_ntis_lead_project.project_name,"기업 2곳에서 핵심 관련 프로젝트명이 3회 확인되고, 반도체장비 프로브가 장비 예시와 겹쳐 신뢰도 높음.","핵심 키워드는 반도체 장비 프로브와 연관되어 기계가공/시험장비로서 적합하며, 2개 기업과 1개 거점에서 확인됨.","'핵심' 용어가 매우 포괄적이므로, 장비 분류와 기업 매칭이 확실한 경우에만 유지해야 함.","기업문서연계, 장비분류적합, 거점소수",기업 #1049#1049 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발 || 기업 #2080#2080 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발 || 기업 #2080#2080 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발(R&D),프로브#63 | 기계가공/시험장비 > 반도체장비 > 프로브스테이션 @ 장전단지
가스,keep,,성분/분석시험,성분/분석시험,화합물전처리/분석장비,,0.81,0.810,"{sourceField} 필드에서 가스 관련 지원 항목이 2건 발견되며, 5개 거점에 36종 화합물전처리·분석장비가 배치되어 활용 중입니다.",2,2,36,5,btp_support_history.support_item,2개 기업의 지원항목과 5개 거점의 다수 분석장비 연관성이 뚜렷하여 정확한 매칭으로 판단됨.,가스 관련 시험·분석장비가 풍부한 5개 거점에서 36종 장비와 2개 기업 지원 사례와 매칭됨.,"가스 키워드는 광범위하나, 분석장비 분류와 다수 장비 존재가 실질적 연관성 강함.","지원이력분석, 장비분포다양, 거점멀티",기업 #616#616 | btp_support_history.support_item | 전시회 참가(서울국제가스&수소산업전) || 기업 #1178#1178 | btp_support_history.support_item | 수소가스 생산설비용 자동제어 버터플라이 밸브,20리터회전식감압농축기#2 | 화합물전처리/분석장비 > 분리정제장비 > 증류/농축기 @ 일광단지 || 미세먼지 간이측정기 반복재현성 평가 장비#5 | 화합물전처리/분석장비 > 입자분석장비 > 입도분석기 @ 지사단지 || 스파크발광분석기#12 | 화합물전처리/분석장비 > 분광분석장비 > 스파크/아크원자방출분광기 @ 지사단지 || 분광광도계#40 | 화합물전처리/분석장비 > 분광분석장비 > 자외/가시광분광광도계 @ 일광단지 || 필터프레스(800*800)#59 | 화합물전처리/분석장비 > 분리정제장비 > 여과기 @ 일광단지
분석,revise,성분 분석,성분/분석시험,성분/분석시험,화합물전처리/분석장비,,0.81,0.810,"{sourceField}에서 '분석' 관련 지원 항목이 2건 확인되고, 5개 거점에 36종 화합물 분석 장비가 분포해 있습니다.",2,2,36,5,btp_support_history.support_item,'분석' 키워드가 매우 포괄적이어서 '성분 분석'으로 구체화하면 장비 매칭 정확도 향상 가능.,지원항목 및 장비가 화합물전처리/분석장비 범위 안에서 매칭되나 키워드 범위가 넓어 조정 필요.,'분석' 단독 키워드는 노이즈 유발 가능성 있어 조정 권장.,"지원이력기반, 장비분류일치, 키워드정제","기업 #117#117 | btp_support_history.support_item | 베트남Entech, 마케팅조사분석 || 기업 #616#616 | btp_support_history.support_item | 베트남Entech, 마케팅조사분석",20리터회전식감압농축기#2 | 화합물전처리/분석장비 > 분리정제장비 > 증류/농축기 @ 일광단지 || 미세먼지 간이측정기 반복재현성 평가 장비#5 | 화합물전처리/분석장비 > 입자분석장비 > 입도분석기 @ 지사단지 || 스파크발광분석기#12 | 화합물전처리/분석장비 > 분광분석장비 > 스파크/아크원자방출분광기 @ 지사단지 || 분광광도계#40 | 화합물전처리/분석장비 > 분광분석장비 > 자외/가시광분광광도계 @ 일광단지 || 필터프레스(800*800)#59 | 화합물전처리/분석장비 > 분리정제장비 > 여과기 @ 일광단지
의료기기,keep,,의료기기 관련 장비 검증,의료기기 사용성/성능평가,임상의료장비,,0.81,0.715,"{sourceField}에서 의료기기 관련 제품명이 2회 나와, 3개 거점에 24종 임상의료장비가 연계되어 있습니다.",2,2,1,1,btp_support_history.main_product,"2개 기업에서 의료기기 제품 확인되며, 임상의료장비가 다양한 거점에 고루 분포해 있어 신뢰도 높음.",의료기기 키워드는 임상의료장비 범주 내에서 광범위하지 않고 적절히 매칭되고 있음.,키워드가 산업적으로 통상적이므로 장비 범위 안에서 유지 권장.,"제품연관, 장비다양성, 거점분배","기업 #695#695 | btp_support_history.main_product | 완제 의약품 제조업, 치과용기기, 정형외과용기기, 의료용기, 의료용구, 의료용재료, 의료기기 || 기업 #1786#1786 | btp_support_history.main_product | 의료기기",의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지
저온,keep,,환경시험,환경시험,기계가공/시험장비,열유체장비,0.785,0.785,"{sourceField}에서 저온 관련 제품과 항목이 2건 확인되며, 열유체 장비 15대가 7개 거점에 분포 중입니다.",2,2,15,7,"btp_support_history.main_product, btp_support_history.support_item","저온 관련 내용이 2개 기업에서 중복 확인되고, 열유체 시험장비가 다수 거점에 분포되어 연계성 명확함.","저온 키워드는 환경시험 중 열유체장비와 밀접하며, 장비 및 거점 다수로 신뢰도 높음.",키워드는 비교적 구체적이나 환경시험 내 다른 세부분야와 혼동 주의.,"주요거점광범위, 장비분포확대, 제품연계",기업 #672#672 | btp_support_history.main_product | 저온고압에너지저장공급시스템 || 기업 #1178#1178 | btp_support_history.support_item | 초저온(LNG)용 고차압 제어밸브 시제춤 제작65,항온항습시험기#50 | 기계가공/시험장비 > 열유체장비 > 항온/항습기 @ 지사단지 || 항온항습 시험장비#53 | 기계가공/시험장비 > 열유체장비 > 항온/항습기 @ 생곡단지 || 전열교환기 인증 시험실#57 | 기계가공/시험장비 > 열유체장비 > 열교환기 @ 지사단지 || 환기용 공기청정기 성능평가 시스템#72 | 기계가공/시험장비 > 열유체장비 > 유체정화기 @ 지사단지 || 증기 가압 시험기#89 | 기계가공/시험장비 > 열유체장비 > 압력장비 @ 장전단지
설계,revise,설계 관련,설계 관련 장비 검증,설계 관련 장비 검증,데이터처리장비,장비소프트웨어,0.75,0.750,{sourceField} 내 설계 관련 보조 항목 2건과 장비소프트웨어 8종이 5개 거점에서 근접 배치되어 있습니다.,2,2,8,5,btp_support_history.support_item,'설계' 키워드가 너무 광범위하므로 '설계 관련' 등으로 다소 범위를 명확히 조정 권장.,설계 키워드는 데이터처리·장비소프트웨어와 결합되어 5개 거점에 장비 분포 관찰됨.,너무 넓은 단어는 노이즈 증가 가능성 있으니 범위 조정 필요.,"데이터처리중심, 소프트웨어연계, 거점중복",기업 #616#616 | btp_support_history.support_item | 스테인리스강 이형형상 소재 제조를 위한 최적화 냉간가공 인발 금형 설계 및 시제품 제작 || 기업 #1878#1878 | btp_support_history.support_item | 근로자 안전을 위한 시스템 서포트 붕괴 위험 진단 센싱 환경 설계 및 실증,사출성형해석프로그램#94 | 데이터처리장비 > 장비소프트웨어 > 계측/분석소프트웨어 @ 지사단지 || AI 데이터 처리시스템 구축#146 | 데이터처리장비 > 하드웨어 > 달리 분류되지 않는 하드웨어 || 해양플랜트 동적위치제어(DP3) 엔지니어링 가상시스템#263 | 기계가공/시험장비 > 자동화/이송 장비 > 위치제어장비 || 복합재료 프리폼 제조용 3D 브레이딩 시스템#361 | 기계가공/시험장비 > 섬유기계장비 > 직기 @ 미음단지 || 시뮬레이터#377 | 데이터처리장비 > 장비소프트웨어 > 연구장비기반소프트웨어 @ 장안단지
추가,drop,,추가 관련 장비 검증,,,,0.735,0.735,,2,2,5,3,btp_support_history.support_item,"'추가'는 매우 일반적인 단어로서, 지원 항목 내에서는 중복과 노이즈가 심해 명확한 장비 매칭이 어려움.","중복 지원항목과 일부 자동화/이송 장비 연결만 존재하지만, 키워드 범위가 넓어 실효성 낮음.","범용 단어 사용으로 데이터 품질 저하 우려, 삭제를 권장.","중복키워드, 노이즈위험, 범위과대",기업 #1178#1178 | btp_support_history.support_item | 스마트공장 구축비 시비 추가 지원 || 기업 #2080#2080 | btp_support_history.support_item | 스마트공장 구축비 시비 추가 지원,고저온만능시험기#150 | 기계가공/시험장비 > 재료물성시험장비 > 진동내구시험장비 @ 지사단지 || 420kW 모터 다이나모 시스템#169 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 동력계 @ 생곡단지 || 산업용 드론 플랫폼 수중#201 | 기계가공/시험장비 > 자동화/이송 장비 > 달리 분류되지 않는 자동화/이송장비 @ 지사단지 || 산업용 드론 플랫폼 수중#331 | 기계가공/시험장비 > 자동화/이송 장비 > 달리 분류되지 않는 자동화/이송장비 @ 지사단지 || 인체 근골격 시뮬레이션 측정시스템#438 | 데이터처리장비 > 장비소프트웨어 > 데이터처리장비기반소프트웨어 @ 녹산단지
일반,drop,,일반 관련 장비 검증,,,,0.72,0.720,,2,2,2,2,company_ntis_lead_project.project_name,'일반'은 너무 광범위하고 유의미한 기술 특성 파악이 어려워 장비 매칭 관점에서 불필요함.,프로젝트 명에 일부 존재하지만 장비 및 분야 특성 반영이 부족해 유의미한 연결점 미약.,키워드 범위가 커서 검색시 노이즈가 많이 생길 가능성 높음.,"범용어, 노이즈발생, 의미저하","기업 #616#616 | company_ntis_lead_project.project_name | 창업성장기술개발(일반,R&D) || 기업 #672#672 | company_ntis_lead_project.project_name | 중소기업기술혁신개발(일반,R&D)",전기차 파워트레인 다이나모 시스템#115 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 동력계 @ 생곡단지 || 정립형광현미경#216 | 광학/전자영상장비 > 현미경 > 광학현미경 @ 장림단지
최적화,revise,최적화 설계,최적화 관련 장비 검증,최적화 관련 장비 검증,데이터처리장비,장비소프트웨어,0.72,0.720,"{sourceField}에 나타난 최적화 관련 지원 내용 2건과, 장비소프트웨어 2종이 2개 거점에서 매칭됩니다.",2,2,2,2,btp_support_history.support_item,단일 '최적화'는 너무 포괄적이기에 설계 관련도로 구체화하면 장비 매칭 정확성 증가 가능.,최적화 키워드는 데이터처리·소프트웨어 장비와의 연결이 있으나 세부 정의 필요성 큼.,과도한 광의 키워드는 장비와의 직접 연관성 희석 위험 있음.,"데이터처리중심, 지원매칭, 키워드세분화",기업 #616#616 | btp_support_history.support_item | 스테인리스강 이형형상 소재 제조를 위한 최적화 냉간가공 인발 금형 설계 및 시제품 제작 || 기업 #2379#2379 | btp_support_history.support_item | 식생 걸림 최소화 구조의 고출력 무인선박 개발을 위한 최적화 구조 및 적층 방안 전문가 자문,사출성형해석프로그램#94 | 데이터처리장비 > 장비소프트웨어 > 계측/분석소프트웨어 @ 지사단지 || 시뮬레이터#377 | 데이터처리장비 > 장비소프트웨어 > 연구장비기반소프트웨어 @ 장안단지
의료기기,revise,의료기기(임상진단영상),의료기기 관련 장비 검증,의료기기 관련 장비 검증,임상의료장비,임상진단영상장비,0.715,0.715,{sourceField}에서 의료기기 제품명 2건과 임상진단영상장비 1대가 관련 데이터 거점에서 확인되었습니다.,2,2,1,1,btp_support_history.main_product,의료기기 키워드 중 임상진단영상장비로 세분화하여 구체적 장비 매칭 반영 필요.,의료기기 키워드는 임상의료장비 내 임상진단영상장비와 실질적 매칭 사례 존재.,키워드 세분화 없이는 노이즈 및 범용성 과다 문제가 발생 가능.,"의료장비세분화, 임상진단, 거점연계","기업 #695#695 | btp_support_history.main_product | 완제 의약품 제조업, 치과용기기, 정형외과용기기, 의료용기, 의료용구, 의료용재료, 의료기기 || 기업 #1786#1786 | btp_support_history.main_product | 의료기기",의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지
활용한,drop,,활용한 관련 장비 검증,,,,0.715,0.715,"'활용한' 키워드는 2개 기업의 2건 소스에서 확인되나, 장비 분류가 모호하여 범용성이 낮습니다.",2,2,1,0,btp_support_history.support_item,일반 동사 표현으로서 맥락이 다양해 불필요한 노이즈 생성 가능성이 높음,소스 예시와 장비가 특정하기 어려워 키워드로 적합하지 않음,너무 포괄적인 키워드는 부정확한 매칭 위험을 증가시킴,"일반용어, 모호성",기업 #1786#1786 | btp_support_history.support_item | Dynamic Balance 데이터 및 할룩스 매직 인솔을 활용한 운동 APP 시제품 개발 || 기업 #2379#2379 | btp_support_history.support_item | 스마트 밴드를 활용한 ICT 융복합 선박 승선원 안전관리시스템 기술,5G기반 드론 통합 관제 시스템#88 | 데이터처리장비 > 하드웨어 > 달리 분류되지 않는 하드웨어
인솔,revise,기능성 인솔,인솔 관련 장비 검증,의료기기 사용성/성능평가,임상의료장비,,0.775,0.750,"'기능성 인솔'은 1개 기업, 9건 소스, 24개 임상의료장비와 3개 거점에서 일치하는 의료기기 평가 대상입니다.",1,7,5,1,"btp_support_history.main_product, btp_support_history.support_item","'인솔' 단어는 너무 광범위하므로, 의료기기로 한정된 '기능성 인솔'으로 구체화함","주요 기업과 상당 수 의료기기 장비, 다수 소스 필드에서 직접 언급됨",과도한 범용 키워드는 노이즈를 부를 수 있어 명확한 개념 필요한 경우 수정 권장,"의료기기, 보건, 임상장비","기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔 || 기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔(깔창) || 기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔, 균형능력 측정장비 || 기업 #1786#1786 | btp_support_history.main_product | 할룩스 매직 인솔 || 기업 #1786#1786 | btp_support_history.support_item | 기능성 인솔",맨발 족저압력 및 보행분석 시스템#141 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지 || 인솔타입 족저압력 측정 시스템#200 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 중력/압력/진공측정장비 @ 녹산단지 || 맨발 족저압력 및 보행분석 시스템#232 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지 || 맞춤인솔분석기#428 | 기계가공/시험장비 > 성형/가공 장비 > 달리 분류되지 않는 성형/가공장비 @ 녹산단지 || 무선지면반력 측정 인솔#437 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지
