keyword,function_name,equipment_category_large,equipment_category_middle,confidence,company_count,source_match_count,equipment_count,hub_count,source_fields,source_examples,equipment_examples,discovery_method,evidence_template
핵심,핵심 관련 장비 검증,기계가공/시험장비,반도체장비,0.725,2,3,1,1,company_ntis_lead_project.project_name,기업 #1049#1049 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발 || 기업 #2080#2080 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발 || 기업 #2080#2080 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발(R&D),프로브#63 | 기계가공/시험장비 > 반도체장비 > 프로브스테이션 @ 장전단지,direct-text-overlap,{sourceField}의 '{keyword}' 단서가 1개 거점 장비와 이어져 {functionName} 검토 대상으로 분류했습니다
가스,성분/분석시험,화합물전처리/분석장비,,0.810,2,2,36,5,btp_support_history.support_item,기업 #616#616 | btp_support_history.support_item | 전시회 참가(서울국제가스&수소산업전) || 기업 #1178#1178 | btp_support_history.support_item | 수소가스 생산설비용 자동제어 버터플라이 밸브,20리터회전식감압농축기#2 | 화합물전처리/분석장비 > 분리정제장비 > 증류/농축기 @ 일광단지 || 미세먼지 간이측정기 반복재현성 평가 장비#5 | 화합물전처리/분석장비 > 입자분석장비 > 입도분석기 @ 지사단지 || 스파크발광분석기#12 | 화합물전처리/분석장비 > 분광분석장비 > 스파크/아크원자방출분광기 @ 지사단지 || 분광광도계#40 | 화합물전처리/분석장비 > 분광분석장비 > 자외/가시광분광광도계 @ 일광단지 || 필터프레스(800*800)#59 | 화합물전처리/분석장비 > 분리정제장비 > 여과기 @ 일광단지,profile,화합물전처리/분석장비 분류의 연결 장비가 36건 확인되어 '{keyword}'를 {functionName} 판단 단서로 삼았습니다
분석,성분/분석시험,화합물전처리/분석장비,,0.810,2,2,36,5,btp_support_history.support_item,"기업 #117#117 | btp_support_history.support_item | 베트남Entech, 마케팅조사분석 || 기업 #616#616 | btp_support_history.support_item | 베트남Entech, 마케팅조사분석",20리터회전식감압농축기#2 | 화합물전처리/분석장비 > 분리정제장비 > 증류/농축기 @ 일광단지 || 미세먼지 간이측정기 반복재현성 평가 장비#5 | 화합물전처리/분석장비 > 입자분석장비 > 입도분석기 @ 지사단지 || 스파크발광분석기#12 | 화합물전처리/분석장비 > 분광분석장비 > 스파크/아크원자방출분광기 @ 지사단지 || 분광광도계#40 | 화합물전처리/분석장비 > 분광분석장비 > 자외/가시광분광광도계 @ 일광단지 || 필터프레스(800*800)#59 | 화합물전처리/분석장비 > 분리정제장비 > 여과기 @ 일광단지,profile,지원품목 데이터 2건에서 '{keyword}'가 반복되고 세부 장비군 분류 장비 36건과 맞물려 {functionName}으로 보았습니다
의료기기,의료기기 사용성/성능평가,임상의료장비,,0.810,2,2,24,3,btp_support_history.main_product,"기업 #695#695 | btp_support_history.main_product | 완제 의약품 제조업, 치과용기기, 정형외과용기기, 의료용기, 의료용구, 의료용재료, 의료기기 || 기업 #1786#1786 | btp_support_history.main_product | 의료기기",의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지 || 휴대용 운동생리학적 신발 칼로리분석 시스템#25 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지 || 인지 자극 측정 시스템#64 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 듀얼 시선 추적장비#73 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 이동형 모니터링 분석 시스템#97 | 임상의료장비 > 전문의학용특수장비 > 달리 분류되지 않는 전문의학용특수장비,profile,기업 제품군의 '{keyword}' 특성이 임상의료장비 분류와 맞아 {functionName} 후보로 잡았습니다
저온,환경시험,기계가공/시험장비,열유체장비,0.785,2,2,15,7,"btp_support_history.main_product, btp_support_history.support_item",기업 #672#672 | btp_support_history.main_product | 저온고압에너지저장공급시스템 || 기업 #1178#1178 | btp_support_history.support_item | 초저온(LNG)용 고차압 제어밸브 시제춤 제작65,항온항습시험기#50 | 기계가공/시험장비 > 열유체장비 > 항온/항습기 @ 지사단지 || 항온항습 시험장비#53 | 기계가공/시험장비 > 열유체장비 > 항온/항습기 @ 생곡단지 || 전열교환기 인증 시험실#57 | 기계가공/시험장비 > 열유체장비 > 열교환기 @ 지사단지 || 환기용 공기청정기 성능평가 시스템#72 | 기계가공/시험장비 > 열유체장비 > 유체정화기 @ 지사단지 || 증기 가압 시험기#89 | 기계가공/시험장비 > 열유체장비 > 압력장비 @ 장전단지,profile,지원 이력의 '{keyword}' 항목이 7개 BTP 거점 장비와 연결되어 {functionName} 수요로 해석했습니다
설계,설계 관련 장비 검증,데이터처리장비,장비소프트웨어,0.750,2,2,8,5,btp_support_history.support_item,기업 #616#616 | btp_support_history.support_item | 스테인리스강 이형형상 소재 제조를 위한 최적화 냉간가공 인발 금형 설계 및 시제품 제작 || 기업 #1878#1878 | btp_support_history.support_item | 근로자 안전을 위한 시스템 서포트 붕괴 위험 진단 센싱 환경 설계 및 실증,사출성형해석프로그램#94 | 데이터처리장비 > 장비소프트웨어 > 계측/분석소프트웨어 @ 지사단지 || AI 데이터 처리시스템 구축#146 | 데이터처리장비 > 하드웨어 > 달리 분류되지 않는 하드웨어 || 해양플랜트 동적위치제어(DP3) 엔지니어링 가상시스템#263 | 기계가공/시험장비 > 자동화/이송 장비 > 위치제어장비 || 복합재료 프리폼 제조용 3D 브레이딩 시스템#361 | 기계가공/시험장비 > 섬유기계장비 > 직기 @ 미음단지 || 시뮬레이터#377 | 데이터처리장비 > 장비소프트웨어 > 연구장비기반소프트웨어 @ 장안단지,direct-text-overlap,기업 문구와 장비 정보 양쪽에 '{keyword}'가 직접 나타나고 장비 8건이 확인되어 {functionName}으로 연결했습니다
추가,추가 관련 장비 검증,기계가공/시험장비,자동화/이송 장비,0.735,2,2,5,3,btp_support_history.support_item,기업 #1178#1178 | btp_support_history.support_item | 스마트공장 구축비 시비 추가 지원 || 기업 #2080#2080 | btp_support_history.support_item | 스마트공장 구축비 시비 추가 지원,고저온만능시험기#150 | 기계가공/시험장비 > 재료물성시험장비 > 진동내구시험장비 @ 지사단지 || 420kW 모터 다이나모 시스템#169 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 동력계 @ 생곡단지 || 산업용 드론 플랫폼 수중#201 | 기계가공/시험장비 > 자동화/이송 장비 > 달리 분류되지 않는 자동화/이송장비 @ 지사단지 || 산업용 드론 플랫폼 수중#331 | 기계가공/시험장비 > 자동화/이송 장비 > 달리 분류되지 않는 자동화/이송장비 @ 지사단지 || 인체 근골격 시뮬레이션 측정시스템#438 | 데이터처리장비 > 장비소프트웨어 > 데이터처리장비기반소프트웨어 @ 녹산단지,direct-text-overlap,지원품목 데이터 2건에서 '{keyword}'가 반복되고 자동화/이송 장비 분류 장비 5건과 맞물려 {functionName}으로 보았습니다
일반,일반 관련 장비 검증,물리적측정장비,힘/토오크/압력/진공측정장비,0.720,2,2,2,2,company_ntis_lead_project.project_name,"기업 #616#616 | company_ntis_lead_project.project_name | 창업성장기술개발(일반,R&D) || 기업 #672#672 | company_ntis_lead_project.project_name | 중소기업기술혁신개발(일반,R&D)",전기차 파워트레인 다이나모 시스템#115 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 동력계 @ 생곡단지 || 정립형광현미경#216 | 광학/전자영상장비 > 현미경 > 광학현미경 @ 장림단지,direct-text-overlap,연구개발 과제 문맥에 '{keyword}'가 나타나고 연결 장비 2건이 확인되어 {functionName} 근거로 삼았습니다
최적화,최적화 관련 장비 검증,데이터처리장비,장비소프트웨어,0.720,2,2,2,2,btp_support_history.support_item,기업 #616#616 | btp_support_history.support_item | 스테인리스강 이형형상 소재 제조를 위한 최적화 냉간가공 인발 금형 설계 및 시제품 제작 || 기업 #2379#2379 | btp_support_history.support_item | 식생 걸림 최소화 구조의 고출력 무인선박 개발을 위한 최적화 구조 및 적층 방안 전문가 자문,사출성형해석프로그램#94 | 데이터처리장비 > 장비소프트웨어 > 계측/분석소프트웨어 @ 지사단지 || 시뮬레이터#377 | 데이터처리장비 > 장비소프트웨어 > 연구장비기반소프트웨어 @ 장안단지,direct-text-overlap,지원 이력의 '{keyword}' 항목이 2개 BTP 거점 장비와 연결되어 {functionName} 수요로 해석했습니다
의료기기,의료기기 관련 장비 검증,임상의료장비,임상진단영상장비,0.715,2,2,1,1,btp_support_history.main_product,"기업 #695#695 | btp_support_history.main_product | 완제 의약품 제조업, 치과용기기, 정형외과용기기, 의료용기, 의료용구, 의료용재료, 의료기기 || 기업 #1786#1786 | btp_support_history.main_product | 의료기기",의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지,direct-text-overlap,기업 문구와 장비 정보 양쪽에 '{keyword}'가 직접 나타나고 장비 1건이 확인되어 {functionName}으로 연결했습니다
활용한,활용한 관련 장비 검증,데이터처리장비,하드웨어,0.715,2,2,1,0,btp_support_history.support_item,기업 #1786#1786 | btp_support_history.support_item | Dynamic Balance 데이터 및 할룩스 매직 인솔을 활용한 운동 APP 시제품 개발 || 기업 #2379#2379 | btp_support_history.support_item | 스마트 밴드를 활용한 ICT 융복합 선박 승선원 안전관리시스템 기술,5G기반 드론 통합 관제 시스템#88 | 데이터처리장비 > 하드웨어 > 달리 분류되지 않는 하드웨어,direct-text-overlap,지원품목 데이터 2건에서 '{keyword}'가 반복되고 하드웨어 분류 장비 1건과 맞물려 {functionName}으로 보았습니다
인솔,의료기기 사용성/성능평가,임상의료장비,,0.775,1,9,24,3,"btp_support_history.main_product, btp_support_history.support_item","기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔 || 기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔(깔창) || 기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔, 균형능력 측정장비 || 기업 #1786#1786 | btp_support_history.main_product | 할룩스 매직 인솔 || 기업 #1786#1786 | btp_support_history.main_product | 할룩스매직인솔",의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지 || 휴대용 운동생리학적 신발 칼로리분석 시스템#25 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지 || 인지 자극 측정 시스템#64 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 듀얼 시선 추적장비#73 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 이동형 모니터링 분석 시스템#97 | 임상의료장비 > 전문의학용특수장비 > 달리 분류되지 않는 전문의학용특수장비,profile,{sourceField}에 적힌 '{keyword}'가 1개 기업 이력에서 확인되어 {functionName} 연결 근거가 됩니다
밸브,압력/유체특성시험,물리적측정장비,힘/토오크/압력/진공측정장비,0.755,1,7,26,5,"btp_support_history.main_product, btp_support_history.support_item, company.main_product","기업 #1178#1178 | btp_support_history.main_product | 버터플라이 밸브 || 기업 #1178#1178 | btp_support_history.main_product | 버터플라이 밸브, 듀얼체크밸브, 체크밸브, 수문밸브 || 기업 #1178#1178 | btp_support_history.main_product | 버터플라이밸브, 체크밸브 || 기업 #1178#1178 | btp_support_history.support_item | 메탄올 연료장치 시스템용 메탄올 밸브 제작 || 기업 #1178#1178 | btp_support_history.support_item | 수소가스 생산설비용 자동제어 버터플라이 밸브",필름형 압력 측정 장비#111 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 다대단지 || 전기차 파워트레인 다이나모 시스템#115 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 동력계 @ 생곡단지 || 휴대용 지면반력 측정 장비#131 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 다대단지 || 샤시다이나모미터#140 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 동력계 @ 지사단지 || 맨발 족저압력 및 보행분석 시스템#141 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지,profile,지원 이력의 '{keyword}' 항목이 5개 BTP 거점 장비와 연결되어 {functionName} 수요로 해석했습니다
기능성,기능성 관련 장비 검증,물리적측정장비,힘/토오크/압력/진공측정장비,0.760,1,7,7,2,"btp_support_history.main_product, btp_support_history.support_item","기업 #1786#1786 | btp_support_history.main_product | 기능성 깔창 || 기업 #1786#1786 | btp_support_history.main_product | 기능성 깔창, 균형 능력 측정 장비 || 기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔 || 기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔(깔창) || 기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔, 균형능력 측정장비",의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지 || 주로형 지면반발력 측정용 시스템#282 | 임상의료장비 > 전문의학용특수장비 > 달리 분류되지 않는 전문의학용특수장비 @ 녹산단지 || 운동부하측정용 지면반력측정 시스템#433 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지 || 최대 견인력측정 시스템#434 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지 || 미끄럼 경사로 시스템#435 | 물리적측정장비 > 길이/위치/자세측정장비 > 달리 분류되지 않는 길이/위치/자세측정장비 @ 녹산단지,direct-text-overlap,기업 문구와 장비 정보 양쪽에 '{keyword}'가 직접 나타나고 장비 7건이 확인되어 {functionName}으로 연결했습니다
인솔,인솔 관련 장비 검증,물리적측정장비,힘/토오크/압력/진공측정장비,0.750,1,7,5,1,"btp_support_history.main_product, btp_support_history.support_item","기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔 || 기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔(깔창) || 기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔, 균형능력 측정장비 || 기업 #1786#1786 | btp_support_history.main_product | 할룩스 매직 인솔 || 기업 #1786#1786 | btp_support_history.support_item | 기능성 인솔",맨발 족저압력 및 보행분석 시스템#141 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지 || 인솔타입 족저압력 측정 시스템#200 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 중력/압력/진공측정장비 @ 녹산단지 || 맨발 족저압력 및 보행분석 시스템#232 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지 || 맞춤인솔분석기#428 | 기계가공/시험장비 > 성형/가공 장비 > 달리 분류되지 않는 성형/가공장비 @ 녹산단지 || 무선지면반력 측정 인솔#437 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지,direct-text-overlap,지원품목 데이터 7건에서 '{keyword}'가 반복되고 힘/토오크/압력/진공측정장비 분류 장비 5건과 맞물려 {functionName}으로 보았습니다
측정,정밀 관찰/영상분석,광학/전자영상장비,,0.805,1,5,48,11,btp_support_history.main_product,"기업 #1786#1786 | btp_support_history.main_product | 건강지표측정장비, 기타신발 || 기업 #1786#1786 | btp_support_history.main_product | 건강지표측정장비제작 || 기업 #1786#1786 | btp_support_history.main_product | 기능성 깔창, 균형 능력 측정 장비 || 기업 #1786#1786 | btp_support_history.main_product | 기능성 인솔, 균형능력 측정장비 || 기업 #1786#1786 | btp_support_history.main_product | 기능성깔창, 균형능력측정",광학현미경#4 | 광학/전자영상장비 > 현미경 > 광학현미경 @ 장림단지 || 공초점현미경#18 | 광학/전자영상장비 > 현미경 > 공초점현미경 @ 장림단지 || 적외선열화상카메라#20 | 광학/전자영상장비 > 카메라/영상처리장비 > 열화상카메라 || 현미경#28 | 광학/전자영상장비 > 현미경 > 디지털현미경 @ 장전단지 || 동영상 3차원 계측 및 동작분석 하이스피드카메라#36 | 광학/전자영상장비 > 카메라/영상처리장비 > 기타특수카메라 @ 녹산단지,profile,기업 제품군의 '{keyword}' 특성이 광학/전자영상장비 분류와 맞아 {functionName} 후보로 잡았습니다
